iter	Passed	Remaining
0	11	4448
1	21	4179
2	31	4106
3	41	4072
4	49	3878
5	57	3793
6	65	3662
7	74	3629
8	79	3473
9	89	3471
10	96	3428
11	106	3427
12	114	3394
13	123	3404
14	132	3391
15	140	3381
16	150	3382
17	159	3392
18	168	3383
19	177	3379
20	188	3394
21	196	3370
22	205	3371
23	213	3351
24	224	3362
25	233	3353
26	241	3334
27	250	3326
28	258	3308
29	267	3302
30	275	3282
31	284	3273
32	291	3245
33	301	3243
34	308	3222
35	318	3221
36	324	3187
37	334	3188
38	341	3164
39	352	3171
40	361	3169
41	371	3169
42	382	3172
43	390	3161
44	400	3160
45	409	3151
46	419	3148
47	427	3135
48	436	3124
49	444	3111
50	453	3101
51	461	3091
52	470	3077
53	478	3063
54	485	3046
55	494	3038
56	503	3027
57	512	3024
58	520	3009
59	530	3004
60	537	2988
61	547	2984
62	556	2976
63	566	2973
64	574	2960
65	582	2949
66	590	2936
67	599	2925
68	607	2916
69	615	2901
70	623	2890
71	632	2881
72	640	2869
73	649	2861
74	659	2856
75	666	2840
76	674	2830
77	682	2817
78	687	2794
79	696	2785
80	704	2775
81	713	2766
82	722	2759
83	731	2750
84	741	2748
85	750	2741
86	760	2735
87	768	2724
88	777	2715
89	785	2705
90	794	2698
91	803	2688
92	811	2680
93	820	2671
94	827	2658
95	835	2646
96	843	2636
97	852	2625
98	860	2617
99	868	2606
100	876	2595
101	886	2589
102	894	2580
103	903	2571
104	909	2555
105	918	2546
106	924	2530
107	932	2522
108	938	2505
109	943	2487
110	953	2483
111	961	2472
112	971	2466
113	977	2452
114	985	2441
115	993	2433
116	1003	2427
117	1010	2415
118	1015	2398
119	1021	2382
120	1027	2369
121	1033	2354
122	1039	2340
123	1043	2322
124	1052	2316
125	1061	2309
126	1073	2306
127	1083	2301
128	1090	2290
129	1098	2282
130	1104	2269
131	1111	2256
132	1119	2246
133	1126	2236
134	1133	2225
135	1140	2213
136	1149	2207
137	1156	2195
138	1165	2188
139	1173	2180
140	1182	2172
141	1189	2161
142	1197	2152
143	1205	2142
144	1214	2135
145	1223	2128
146	1231	2119
147	1239	2109
148	1247	2102
149	1256	2093
150	1265	2086
151	1274	2079
152	1282	2071
153	1290	2061
154	1298	2053
155	1306	2044
156	1314	2034
157	1323	2027
158	1332	2019
159	1341	2012
160	1348	2001
161	1357	1993
162	1363	1982
163	1372	1974
164	1376	1961
165	1385	1952
166	1392	1942
167	1399	1932
168	1407	1924
169	1415	1914
170	1423	1906
171	1430	1896
172	1438	1886
173	1445	1877
174	1452	1868
175	1461	1859
176	1470	1852
177	1475	1840
178	1484	1832
179	1493	1825
180	1502	1817
181	1510	1809
182	1518	1800
183	1526	1792
